isin,name,ticker,vehicle,asset_class,category,benchmark,region,sector,perf_1y,perf_3y,volatility,sharpe,sortino,max_drawdown,ter,aum_m,qualitative_score,diversification_score,liquidity_score,rating,duration,tracking_error,tracking_difference,irr,tvpi,dpi,vintage,distribution_rate,occupancy_rate,coupon,barrier,autocall
IE00B3XXRP09,Vanguard S&P 500,VUSA.L,ETF,Equity,US Equity,S&P 500,United States,Diversified,0.165,0.139,0.127,0.73,0.93,-0.184,0.0007,42000,80,70,96,,,0.0017,-0.0048,,,,,,,,,
IE00B5BMR087,iShares Core S&P 500,CSPX.L,ETF,Equity,US Equity,S&P 500,United States,Diversified,0.15,0.133,0.138,0.68,0.98,-0.147,0.0007,68000,81,70,97,,,0.0013,-0.0049,,,,,,,,,
IE00B6YX5C33,SPDR S&P 500,SPY5.L,ETF,Equity,US Equity,S&P 500,United States,Diversified,0.141,0.111,0.187,0.78,1.05,-0.236,0.0003,25000,79,70,93,,,0.0021,-0.0025,,,,,,,,,
IE00B53QG562,iShares Nasdaq 100,CNDX.L,ETF,Equity,US Growth,Nasdaq 100,United States,Technology,0.083,0.069,0.21,0.77,1.08,-0.177,0.0033,15000,78,55,92,,,0.0027,-0.0049,,,,,,,,,
IE0032077012,Invesco EQQQ Nasdaq-100,EQQQ.L,ETF,Equity,US Growth,Nasdaq 100,United States,Technology,0.169,0.15,0.135,0.5,0.73,-0.161,0.003,9000,76,54,88,,,0.0014,-0.0039,,,,,,,,,
IE00B4L5Y983,iShares Core MSCI World,SWDA.L,ETF,Equity,Global Equity,MSCI World,Global,Diversified,0.145,0.132,0.176,0.5,0.64,-0.259,0.002,78000,82,88,95,,,0.0014,-0.001,,,,,,,,,
LU1681043599,Amundi MSCI World,CW8.PA,ETF,Equity,Global Equity,MSCI World,Global,Diversified,0.101,0.088,0.16,0.49,0.69,-0.147,0.0038,11000,79,87,85,,,0.0023,-0.0048,,,,,,,,,
DE000A0F5UH1,iShares STOXX Europe 600,EXSA.DE,ETF,Equity,Europe Equity,STOXX Europe 600,Europe,Diversified,0.132,0.124,0.15,0.58,0.86,-0.218,0.002,8500,81,78,90,,,0.0018,-0.0018,,,,,,,,,
FR0007052782,Amundi CAC 40,CAC.PA,ETF,Equity,Europe Equity,CAC 40,Europe,Diversified,0.098,0.086,0.187,0.58,0.76,-0.177,0.0025,4500,74,55,84,,,0.0013,-0.001,,,,,,,,,
LU0380865021,Xtrackers EURO STOXX 50,XESC.DE,ETF,Equity,Europe Equity,EURO STOXX 50,Europe,Diversified,0.105,0.099,0.161,0.46,0.58,-0.178,0.0009,6200,77,58,87,,,0.0008,-0.0045,,,,,,,,,
IE00BKM4GZ66,iShares MSCI EM,EMIM.L,ETF,Equity,Emerging Markets,MSCI EM,Emerging Markets,Diversified,0.114,0.093,0.153,0.71,0.97,-0.253,0.0018,21000,77,84,90,,,0.0025,-0.0017,,,,,,,,,
LU1681045370,Amundi MSCI Emerging Markets,AEEM.PA,ETF,Equity,Emerging Markets,MSCI EM,Emerging Markets,Diversified,0.106,0.082,0.132,0.54,0.8,-0.189,0.002,3800,74,83,82,,,0.0018,-0.002,,,,,,,,,
IE00B6YX5D40,SPDR MSCI World Small Cap,WDSC.L,ETF,Equity,Global Small Cap,MSCI World Small Cap,Global,Small Cap,0.079,0.065,0.153,0.62,0.87,-0.209,0.0045,1200,76,89,78,,,0.0017,-0.0029,,,,,,,,,
IE00B8GKDB10,Vanguard FTSE All-World High Dividend,VHYL.L,ETF,Equity,Global Dividend,FTSE All-World High Dividend,Global,Dividend,0.075,0.063,0.137,0.79,1.06,-0.207,0.0029,5200,79,82,86,,,0.0027,-0.0021,,,,,,,,,
IE00B1XNHC34,iShares Global Clean Energy,INRG.L,ETF,Equity,Thematic,S&P Global Clean Energy,Global,Clean Energy,0.144,0.129,0.19,0.82,1.19,-0.193,0.0065,2800,72,60,82,,,0.0013,-0.0013,,,,,,,,,
IE00B4L5YX21,iShares MSCI Japan,IJPA.L,ETF,Equity,Japan Equity,MSCI Japan,Japan,Diversified,0.128,0.113,0.178,0.75,1.02,-0.261,0.0048,3100,75,72,80,,,0.0028,-0.0019,,,,,,,,,
